20 PA3-J-Unknown-Output.txt
1.28	 -0.11	 -25.50			0.76	 -0.16	 -24.67		0.974
22.61	 -8.38	 18.98			21.76	 -5.79	 18.70		2.745
29.21	 1.58	 25.92			27.53	 2.21	 25.31		1.902
38.98	 -5.39	 -14.71			35.57	 -3.94	 -14.93		3.706
15.06	 -19.12	 -2.43			14.90	 -16.58	 -3.27		2.679
18.69	 9.21	 62.28			18.75	 9.19	 63.06		0.779
15.24	 -12.00	 10.47			14.55	 -9.82	 9.74		2.396
-22.08	 -23.79	 -47.66			-21.39	 -22.37	 -45.80		2.439
27.56	 1.31	 -30.21			27.62	 1.40	 -30.03		0.211
8.80	 -9.85	 28.89			8.34	 -6.98	 28.69		2.911
1.70	 16.88	 5.34			0.82	 17.93	 4.56		1.584
24.77	 -4.26	 32.79			22.79	 -2.31	 32.25		2.840
31.99	 -10.20	 3.87			30.66	 -8.04	 3.70		2.547
-25.95	 -16.47	 -48.81			-25.67	 -16.35	 -47.74		1.112
29.96	 -3.86	 19.07			28.47	 -2.44	 18.16		2.247
-9.75	 -18.94	 -48.23			-10.83	 -19.02	 -45.23		3.182
-33.14	 -26.53	 -38.76			-32.56	 -25.77	 -38.18		1.111
3.04	 20.59	 10.36			1.77	 22.51	 9.88		2.357
-6.14	 -32.65	 -25.05			-8.85	 -29.10	 -25.70		4.508
-6.71	 1.22	 27.44			-7.99	 1.03	 27.71		1.320
