150 PA5-C-Debug-Output.txt 6
    4.96    -6.56    33.45         4.96    -6.56    33.45     0.000
   -2.25     4.92   -25.60        -2.25     4.92   -25.60     0.000
   -0.22    17.50    49.27        -0.22    17.50    49.27     0.000
   -9.27   -25.64   -12.10        -9.27   -25.64   -12.10     0.000
  -17.24     3.36    -8.54       -17.24     3.36    -8.54     0.000
   -2.46   -20.48   -36.52        -2.46   -20.48   -36.52     0.000
  -29.22   -31.35   -21.24       -29.22   -31.35   -21.24     0.000
  -36.58   -25.93   -27.10       -36.58   -25.93   -27.10     0.000
   12.33    -6.29    27.46        12.33    -6.29    27.46     0.000
   17.14   -13.54    -0.99        17.14   -13.54    -0.99     0.000
   34.10    -3.81     4.97        34.10    -3.81     4.97     0.000
   12.39    -5.64    41.60        12.39    -5.64    41.60     0.000
   -1.25     2.41   -27.07        -1.25     2.41   -27.07     0.000
  -12.49    -1.93     6.17       -12.49    -1.93     6.17     0.000
  -31.55   -24.63   -11.25       -31.55   -24.63   -11.25     0.000
    9.62    21.73    27.49         9.62    21.73    27.49     0.000
  -11.95    12.67   -25.40       -11.95    12.67   -25.40     0.000
  -27.09    -9.80   -47.80       -27.09    -9.80   -47.80     0.000
  -20.49   -29.82   -12.61       -20.49   -29.82   -12.61     0.000
   -3.37    -5.23   -37.99        -3.37    -5.23   -37.99     0.000
  -10.62    21.02    18.14       -10.62    21.02    18.14     0.000
  -31.54     1.78   -41.14       -31.54     1.78   -41.14     0.000
  -32.56     6.39   -35.11       -32.56     6.39   -35.11     0.000
  -19.40   -12.38    -3.10       -19.40   -12.38    -3.10     0.000
   -8.43   -30.05   -26.56        -8.43   -30.05   -26.56     0.000
   35.06    -4.29    -5.33        35.06    -4.29    -5.33     0.000
   24.57   -16.44   -16.39        24.57   -16.44   -16.39     0.000
    3.00   -16.60   -24.90         3.00   -16.60   -24.90     0.000
  -24.14   -32.87   -19.78       -24.14   -32.87   -19.78     0.000
    9.23    20.42    51.49         9.23    20.42    51.49     0.000
   -4.95    14.10    50.09        -4.95    14.10    50.09     0.000
   22.29    11.62    33.71        22.29    11.62    33.71     0.000
   -3.42    -9.99     6.12        -3.42    -9.99     6.12     0.000
   -7.88     6.80    38.88        -7.88     6.80    38.88     0.000
    1.76    17.56    53.07         1.76    17.56    53.07     0.000
   18.18     3.94    63.35        18.18     3.94    63.35     0.000
   11.29    -5.48    57.41        11.29    -5.48    57.41     0.000
  -38.17   -19.30   -14.05       -38.17   -19.30   -14.05     0.000
   -6.94    23.78    22.38        -6.94    23.78    22.38     0.000
   21.18     7.58    41.93        21.18     7.58    41.93     0.000
   25.60    -7.54     4.63        25.60    -7.54     4.63     0.000
    5.44    -9.25    16.73         5.44    -9.25    16.73     0.000
    8.85     0.42   -23.09         8.85     0.42   -23.09     0.000
  -21.73   -13.74   -47.90       -21.73   -13.74   -47.90     0.000
   23.68    23.54     5.89        23.68    23.54     5.89     0.000
    7.43   -14.38    -0.11         7.43   -14.38    -0.11     0.000
   15.52    -6.58    19.45        15.52    -6.58    19.45     0.000
   19.88     8.08   -29.10        19.88     8.08   -29.10     0.000
   -7.29   -17.15    -5.82        -7.29   -17.15    -5.82     0.000
   29.25     7.72    15.04        29.25     7.72    15.04     0.000
   -1.69   -23.99   -29.79        -1.69   -23.99   -29.79     0.000
  -40.50   -10.38   -12.73       -40.50   -10.38   -12.73     0.000
